,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
TGME49_206695,305,464,271,429,305,462,363,383
TGME49_206700,215,285,165,216,215,232,215,179
TGME49_206710,862,870,545,788,862,793,609,689
TGME49_206910,0,2,0,0,0,0,0,0
TGME49_207005,0,0,0,0,0,1,0,0
TGME49_207010,0,1,1,0,0,0,0,0
TGME49_207015,0,1,0,0,0,1,1,0
TGME49_207020,251,263,190,213,251,266,230,202
TGME49_207030,38,36,28,28,38,35,49,43
TGME49_207040,579,780,457,609,579,801,507,516
TGME49_207050,0,4,0,3,0,4,2,2
TGME49_207060,2784,3293,2189,2965,2784,2804,2449,2438
TGME49_207065,146,175,124,134,146,175,155,120
TGME49_207070,376,450,272,414,376,414,376,322
TGME49_207080,838,939,551,776,838,945,707,649
TGME49_207100,1526,1534,866,1203,1526,1311,1042,1043
TGME49_207110,40,42,7,29,40,27,23,25
TGME49_207120,889,1142,515,905,889,963,740,797
TGME49_207130,6,4,5,5,6,4,4,3
TGME49_207140,13,28,35,17,13,23,46,16
TGME49_207150,3,1,6,0,3,2,5,0
TGME49_207160,3,10,20,3,3,8,41,2
TGME49_207170,1858,2264,1344,1727,1858,2231,1604,1431
TGME49_207180,1014,1274,651,1024,1014,1162,804,921
TGME49_207200,693,765,413,608,693,659,480,524
TGME49_207210,7,11,20,10,7,10,21,5
TGME49_207230,1433,1942,1036,1584,1433,1841,1220,1360
TGME49_207240,2497,3377,1694,2548,2497,2988,1936,2327
TGME49_207250,6,6,2,5,6,10,4,5
TGME49_207350,0,1,1,1,0,1,3,2
TGME49_207360,0,0,0,0,0,1,1,0
TGME49_207365,0,0,0,0,0,0,0,0
TGME49_207370,6839,8228,5007,6723,6839,7603,5872,5970
TGME49_207380,0,0,0,0,0,0,0,0
TGME49_207390,1063,1337,647,917,1063,1165,871,786
