Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,LPS_1,LPS_2,LPS_3,LPS_4
ABCA3,3,4,11,1,7,2,20,2
ABCA4,0,0,0,0,0,0,1,0
ABCA5,275,176,166,174,223,99,298,152
ABCA6,0,1,0,0,9,3,11,2
ABCA7,1540,2455,1121,467,1918,3693,4358,1277
ABCA8,0,0,0,0,0,0,0,0
ABCA9,0,0,0,0,2,2,1,1
ABCA9-AS1,0,0,0,0,0,0,0,0
ABCB1,36,14,85,22,105,43,550,62
ABCB10,44,72,30,36,52,30,146,35
ABCB11,0,0,1,0,0,0,0,0
ABCB11_1,0,0,2,0,0,0,0,0
ABCB4,7,2,5,10,11,9,48,30
ABCB5,0,0,0,0,2,0,0,0
ABCB6,31,23,16,11,30,82,70,36
ABCB7,42,20,33,24,99,36,150,68
ABCB8,53,52,66,30,77,109,236,77
ABCB9,3,1,1,0,4,4,8,6
ABCC1,44,23,12,6,161,108,100,52
ABCC1_1,44,37,23,18,132,213,131,105
ABCC10,65,26,47,17,114,83,351,92
ABCC11,1,0,0,0,3,1,2,1
ABCC12,0,0,0,0,0,0,0,0
ABCC13,0,0,0,0,0,0,1,0
ABCC2,27,25,8,9,50,75,107,72
ABCC3,10,10,4,7,17,39,23,16
ABCC4,14,17,13,2,34,23,71,26
ABCC5,161,315,76,97,383,1162,679,493
ABCC5-AS1,0,0,0,0,0,2,1,0
ABCC6,0,1,0,0,1,1,0,2
ABCC6_1,0,1,0,0,0,12,5,1
ABCC6P1,0,0,0,0,2,2,16,2
ABCC6P1_1,0,0,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,0,0,0
ABCC6P2_1,0,0,0,0,0,0,0,0
ABCC8,0,0,1,0,0,0,1,0
ABCC9,0,0,0,0,0,0,0,0
ABCD1,33,23,32,23,87,210,204,105
ABCD2,1,1,4,2,10,4,19,12
