Geneid,RH_1,RH_2,RH_3,RH_4,LPS_1,LPS_2,LPS_3,LPS_4
AFG2A,3,1,10,2,15,4,33,8
AFG2B,163,126,151,74,762,476,716,287
AFG3L1P,153,193,154,111,73,67,232,46
AFG3L2,56,55,60,39,108,61,195,65
AFM,0,0,0,0,0,0,0,0
AFMID,1,3,6,6,5,1,7,2
AFP,0,0,0,0,0,0,0,0
AFTPH,963,872,925,633,8624,7299,8080,5826
AFTPH-DT,9,2,5,0,71,56,54,33
AGA,20,15,24,8,27,21,84,31
AGA-DT,0,0,2,2,1,1,4,1
AGAP1,1,1,5,1,6,1,31,4
AGAP10P,0,2,2,0,3,1,5,1
AGAP11,0,0,0,0,0,0,1,0
AGAP12P,0,0,0,0,0,0,0,0
AGAP12P_1,0,0,0,0,0,0,0,0
AGAP13P,0,0,0,0,0,2,1,2
AGAP14P,1,3,3,1,6,3,4,2
AGAP1-IT1,0,0,0,0,0,0,0,0
AGAP2,345,464,218,217,831,586,1032,428
AGAP2-AS1,4,5,2,3,7,10,4,4
AGAP3,200,143,1080,340,4566,12111,10050,7620
AGAP4,1,0,2,0,2,1,4,6
AGAP5,0,0,1,0,2,1,6,0
AGAP6,0,0,1,0,2,2,8,1
AGAP7P,19,6,18,6,11,20,51,16
AGAP9,0,0,0,0,1,0,0,0
AGBL1,0,0,0,1,0,0,0,0
AGBL1-AS1,0,0,0,0,0,0,0,0
AGBL2,0,0,0,0,0,0,0,0
AGBL2_1,0,0,0,0,0,0,0,0
AGBL3,5,3,8,3,12,9,21,5
AGBL4,0,0,0,0,0,0,0,0
AGBL4-AS1,0,0,0,0,0,0,0,0
AGBL4-IT1,0,0,0,0,0,0,0,0
AGBL5,13,12,24,5,42,22,88,27
AGBL5-AS1,0,0,0,0,1,1,1,1
AGER,0,0,0,0,0,24,0,0
AGER_1,0,0,0,0,0,0,0,0
AGER_2,0,2,0,0,0,22,0,0
AGER_3,0,0,0,0,0,0,0,0
AGER_4,0,0,0,0,0,0,0,0
AGER_5,0,0,0,0,0,0,8,0
AGER_6,1,0,0,0,3,0,5,1
AGFG1,313,423,300,251,1279,1242,1407,954
AGFG2,17,12,26,2,57,44,135,38
AGGF1,126,133,72,75,211,210,347,194
AGK,2,3,9,2,22,16,48,9
AGK_1,0,0,0,0,0,0,0,0
